YEAR,agriculture-r,agriculture-nr,AS-r,AS-nr,health_professions-r,health_professions-nr,business-r,business-nr,education-r,education-nr,engineering-r,engineering-nr,journalism-r,journalism-nr,nursing-r,nursing-nr
2007,4008.2,8981,3466.4,8439.2,3466.4,8439.2,3931.2,8904,3931.2,8904,5674.2,10647,4008.2,8981,3466.4,8439.2
2008,4173.4,9349.2,3609.2,8785,3609.2,8785,4093.6,9269.4,4093.6,9269.4,5909.4,11085.2,4173.4,9349.2,3609.2,8785
2009,4173.4,9349.2,3609.2,8785,3609.2,8785,4093.6,9269.4,4093.6,9269.4,5909.4,11085.2,4173.4,9349.2,3609.2,8785
2010,4188.8,9795.8,3609.2,9216.2,3609.2,9216.2,4106.2,9713.2,4106.2,9713.2,5986.4,11593.4,4188.8,9795.8,4449.2,10056.2
2011,4450.6,10421.6,3833.2,9804.2,4741.8,10712.8,4572.4,10543.4,4362.4,10333.4,6308.4,12279.4,4543,10514,4727.8,10698.8
2012,4583.6,11167.8,3948,10532.2,4999.4,11583.6,4929.4,11513.6,4492.6,11076.8,6571.6,13155.8,4788,11372.2,4869.2,11453.4
2013,4662,11358.2,4015.2,10711.4,5084.8,11781,5013.4,11709.6,4569.6,11265.8,6725.6,13421.8,4869.2,11565.4,4951.8,11648
2014,4699.8,11712.4,4368,11380.6,5311.6,12324.2,5031.6,12044.2,4684.4,11697,7190.4,14763,5054,12066.6,4998,12010.6
2015,4737.6,12044.2,4470.2,11776.8,5343.8,12650.4,5161.8,12468.4,4722.2,12028.8,7295.4,15190,5094.6,12401.2,5310.2,12616.8
